"7sur7.be","2.22.230.64"
"bioinformatics.psb.ugent.be","193.190.62.206"
"bipt-speedtest.be","193.190.139.33"
"bipt-speedtest.be","193.190.182.40"
"bipt-speedtest.be","193.190.198.14"
"bipt.be","193.190.139.33"
"bipt.be","193.190.182.40"
"bipt.be","193.190.198.14"
"biw.kuleuven.be","134.58.126.5"
"biw.kuleuven.be","134.58.126.6"
"blue-bike.be","185.35.52.200"
"blue-bike.be","195.130.154.74"
"blue-bike.be","85.255.200.200"
"bokrijk.be","185.3.216.13"
"bold.oma.be","193.190.230.16"
"bome.be","83.217.73.172"
"bome.be","86.39.202.67"
"bouwkroniek.be","83.217.73.172"
"bouwkroniek.be","86.39.202.67"
"bouwsoft.be","83.217.73.172"
"bouwsoft.be","86.39.202.67"
"bpost.be","193.191.180.241"
"bpost.be","193.191.180.242"
"br.fgov.be","193.190.182.40"
"br.fgov.be","193.190.198.14"
"brf.be","83.217.73.172"
"brf.be","86.39.202.67"
"briobrussel.be","83.217.73.172"
"briobrussel.be","86.39.202.67"
"bruce-radio.be","185.3.216.13"
"brucity.be","195.244.180.35"
"brucity.be","195.244.180.36"
"brugge.be","193.191.120.150"
"brugsbierfestival.be","94.126.48.37"
"brussel.be","195.244.180.35"
"brussel.be","195.244.180.36"
"brusselnieuws.be","83.217.73.172"
"brusselnieuws.be","86.39.202.67"
"brussels-school.be","185.3.216.13"
"brussels.be","195.244.180.35"
"brussels.be","195.244.180.36"
"brusselsairport.be","2.22.230.65"
"brusselsphilharmonic.be","194.42.75.194"
"bruxelles.be","195.244.180.35"
"bruxelles.be","195.244.180.36"
"bruxelles.irisnet.be","195.244.170.5"
"bruxelles.irisnet.be","195.244.170.6"
"bruxellesenvironnement.be","195.244.167.238"
"bruxellesenvironnement.be","195.244.180.163"
"bruxellesmobilite.irisnet.be","195.244.170.5"
"bruxellesmobilite.irisnet.be","195.244.170.6"
"bruzz.be","83.217.73.172"
"bruzz.be","86.39.202.67"
"business.belgium.be","193.191.212.2"
"business.belgium.be","193.191.213.2"
"c-mine.be","185.3.216.13"
"c-power.be","213.246.249.58"
"c-power.be","80.169.81.222"
"c2dh.uni.lu","158.64.79.160"
"cae.public.lu","185.106.25.18"
"cae.public.lu","185.106.25.42"
"cae.public.lu","185.106.25.43"
"cage.ugent.be","157.193.245.1"
"cambio.be","83.217.73.172"
"cambio.be","86.39.202.67"
"casino-luxembourg.lu","158.64.1.23"
"casino-luxembourg.lu","158.64.12.45"
"caw.be","83.217.73.172"
"caw.be","86.39.202.67"
"cc.lu","185.106.25.18"
"cc.lu","185.106.25.42"
"cc.lu","185.106.25.43"
"cdconcept.be","83.217.73.172"
"cdconcept.be","86.39.202.67"
"cdenv.be","185.172.4.98"
"cdenv.be","185.172.4.99"
"cdenv.be","46.33.87.125"
"cdenv.be","46.33.87.126"
"cedem.ulg.ac.be","139.165.51.125"
"cegesoma.be","193.190.182.40"
"centexbel.be","193.190.135.69"
"cetri.be","79.99.201.139"
"cfl.lu","194.154.192.1"
"cfl.lu","194.154.213.7"
"cfl.lu","194.154.213.8"
"cfwb.be","193.53.34.101"
"cfwb.be","193.53.34.102"
"chd.lu","194.154.192.1"
"chd.lu","94.125.202.11"
"childfocus.be","83.217.73.172"
"childfocus.be","86.39.202.67"
"chuliege.be","139.165.1.11"
"chuliege.be","139.165.1.12"
"cicb.be","185.35.52.200"
"cicb.be","195.130.154.74"
"cicb.be","85.255.200.200"
"cinevox.be","83.217.73.172"
"cinevox.be","86.39.202.67"
"circuit-zolder.be","83.217.73.172"
"circuit-zolder.be","86.39.202.67"
"clubbrugge.be","83.217.73.172"
"clubbrugge.be","86.39.202.67"
"clubevent.a4c.be","85.158.213.199"
"cna.public.lu","185.106.25.18"
"cna.public.lu","185.106.25.42"
"cna.public.lu","185.106.25.43"
"cnpd.public.lu","185.106.25.18"
"cnpd.public.lu","185.106.25.42"
"cnpd.public.lu","185.106.25.43"
"cns.public.lu","185.106.25.18"
"cns.public.lu","185.106.25.42"
"cns.public.lu","185.106.25.43"
"comiteri.be","83.217.73.172"
"comiteri.be","86.39.202.67"
"congoforum.be","83.217.73.172"
"congoforum.be","86.39.202.67"
"consdorf.lu","194.154.192.1"
"consdorf.lu","195.46.252.2"
"consdorf.lu","80.90.63.90"
"conseil-etat.public.lu","185.106.25.18"
"conseil-etat.public.lu","185.106.25.42"
"conseil-etat.public.lu","185.106.25.43"
"const-court.be","185.35.52.200"
"const-court.be","195.130.154.74"
"const-court.be","85.255.200.200"
"contern.lu","194.154.192.1"
"contern.lu","195.46.252.2"
"contern.lu","80.90.63.90"
"corelan.be","83.217.73.172"
"corelan.be","86.39.202.67"
"cosic.esat.kuleuven.be","134.58.63.3"
"covid19.public.lu","185.106.25.18"
"covid19.public.lu","185.106.25.42"
"covid19.public.lu","185.106.25.43"
"cpll.lu","158.64.1.23"
"cpll.lu","158.64.12.45"
"crisp.be","83.217.73.172"
"crisp.be","86.39.202.67"
"croix-rouge.lu","194.154.192.1"
"croix-rouge.lu","195.46.252.2"
"croix-rouge.lu","80.90.63.90"
"crr.ugent.be","157.193.40.87"
"crvv.be","83.217.73.172"
"crvv.be","86.39.202.67"
"cs.kuleuven.ac.be","134.58.126.7"
"cs.kuleuven.ac.be","134.58.126.8"
"cs.kuleuven.ac.be","134.58.40.4"
"cs.kuleuven.be","134.58.126.7"
"cs.kuleuven.be","134.58.126.8"
"cs.kuleuven.be","134.58.40.4"
"cssf.lu","146.0.177.250"
"cssf.lu","212.66.76.58"
"culture-routes.lu","158.64.1.23"
"culture-routes.lu","158.64.12.45"
"cuttingedge.be","83.217.73.172"
"cuttingedge.be","86.39.202.67"
"cve.circl.lu","185.194.93.128"
"d-drinks.be","83.217.73.172"
"d-drinks.be","86.39.202.67"
"dac.public.lu","185.106.25.18"
"dac.public.lu","185.106.25.42"
"dac.public.lu","185.106.25.43"
"dansendeberen.be","83.217.73.172"
"dansendeberen.be","86.39.202.67"
"data-onderwijs.vlaanderen.be","185.61.72.66"
"datanews.be","83.217.73.172"
"datanews.be","86.39.202.67"
"davidsfonds.be","188.93.83.1"
"deduveinstitute.be","130.104.74.20"
"deduveinstitute.be","130.104.74.6"
"degrotepost.be","83.217.73.172"
"degrotepost.be","86.39.202.67"
"dekamer.be","193.190.182.40"
"dekamer.be","193.190.198.14"
